Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-02-10,143.960007,147.539993,143.850006,144.820007,143.280594,5142600,0
2022-02-11,144.759995,145.059998,139.559998,140.179993,138.689911,6710500,1
2022-02-14,140.080002,143.210007,139.789993,141.589996,140.084915,6841200,2
2022-02-15,144.220001,146.320007,144.100006,145.580002,144.032501,7820200,3
2022-02-16,145.020004,146.949997,144.610001,146.490005,144.932831,4817500,4
2022-02-17,145.539993,146.910004,142.639999,142.800003,141.282059,5202300,5
2022-02-18,143.369995,143.940002,141.809998,142.949997,141.430481,5177400,6
2022-02-22,141.589996,141.639999,136.160004,138.190002,136.721069,9604500,7
2022-02-23,139.660004,140.970001,136.509995,136.830002,135.375534,7636600,8
2022-02-24,133,137.419998,130.929993,137.169998,135.711899,8417200,9
2022-02-25,138.130005,139.220001,136.190002,138.800003,137.3246,5424500,10
2022-02-28,137.059998,138.380005,135.039993,136.550003,135.098495,6613300,11
2022-03-01,136.720001,136.75,131.149994,132.220001,130.814529,6534000,12
2022-03-02,132.979996,136.610001,132.770004,135.679993,134.237732,7743900,13
2022-03-03,136.740005,136.800003,133.449997,133.970001,132.545929,4576500,14
2022-03-04,132.509995,133.619995,130.699997,131.179993,130.081726,7084500,15
2022-03-07,131,131.029999,124.169998,124.440002,123.398163,11383400,16
2022-03-08,125.239998,125.470001,120.800003,121.209999,120.195206,9089400,17
2022-03-09,127.379997,129.649994,126.629997,126.949997,125.887138,8845100,18
2022-03-10,124.019997,126.599998,124,126.029999,124.974854,7167400,19
2022-03-11,127.010002,127.870003,122.510002,122.629997,121.603317,5882000,20
2022-03-14,121.529999,122.449997,116.75,117.57,116.58567,13884900,21
2022-03-15,119.839996,120.419998,117.75,119.400002,118.40036,10431300,22
2022-03-16,122.849998,126.110001,121.93,125.190002,124.141884,11100400,23
2022-03-17,124.940002,127.410004,123.699997,127.410004,126.343292,6845300,24
2022-03-18,126.849998,131.460007,126.699997,131.240005,130.141235,10350900,25
2022-03-21,129.720001,132.309998,128.619995,130.190002,129.100021,14388500,26
2022-03-22,137.279999,139,132.990005,133.089996,131.975739,19731200,27
2022-03-23,132.639999,135.399994,131.199997,133,131.88649,8068800,28
2022-03-24,133.75,134.190002,131.199997,132.080002,130.974197,5853800,29
2022-03-25,133.050003,133.869995,131.710007,133.699997,132.580627,6287000,30
2022-03-28,133.759995,134.860001,132.169998,134.809998,133.681335,5804100,31
2022-03-29,137.850006,139.75,136.949997,139.139999,137.975082,7275900,32
2022-03-30,138.979996,139.860001,137.559998,138.539993,137.380112,5545800,33
2022-03-31,137.830002,138.710007,134.5,134.559998,133.433426,7206500,34
2022-04-01,134.449997,135.279999,132.75,133.520004,132.402145,5807500,35
