Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-02-12,65.940002,66.82,65.68,65.980003,62.797836,9792200,0
2018-02-13,65.849998,66.230003,65.43,65.870003,62.693127,9538400,1
2018-02-14,65.720001,68.029999,65.550003,67.959999,64.68232,8662600,2
2018-02-15,68.389999,68.760002,67.25,68.290001,64.996414,7390200,3
2018-02-16,67.900002,69,67.739998,68.300003,65.00592,6842100,4
2018-02-20,67.639999,67.970001,67.050003,67.489998,64.234978,4859100,5
2018-02-21,67.660004,68.019997,67.029999,67.050003,63.816238,5107900,6
2018-02-22,67.25,67.480003,66.739998,67.129997,63.892353,6515800,7
2018-02-23,67.389999,68.160004,66.849998,68.160004,64.872688,4428500,8
2018-02-26,68.389999,69.809998,68.339996,69.650002,66.290817,6499500,9
2018-02-27,70,70.25,68.029999,68.029999,64.74897,6843100,10
2018-02-28,68.099998,68.300003,67.010002,67.029999,63.797169,6091800,11
2018-03-01,67.239998,67.669998,65.669998,66.32,63.121418,7323900,12
2018-03-02,64.910004,66.089996,64.209999,65.889999,62.901852,8380500,13
2018-03-05,65.480003,65.489998,64.339996,65.050003,62.099957,8838400,14
2018-03-06,65.209999,65.360001,64.629997,65.239998,62.28133,6550100,15
2018-03-07,64.510002,64.790001,63.889999,64.169998,61.259857,6457600,16
2018-03-08,64.559998,65.25,64.480003,65.110001,62.15723,5573000,17
2018-03-09,65.510002,66.510002,65.360001,66.300003,63.293266,5838400,18
2018-03-12,66.650002,67.610001,66.32,66.82,63.789688,7522700,19
2018-03-13,67.300003,67.690002,66.129997,66.169998,63.169147,5167300,20
2018-03-14,66.650002,66.900002,65.669998,66.199997,63.1978,6463800,21
2018-03-15,66.489998,66.610001,66.129997,66.389999,63.379181,5260800,22
2018-03-16,66.309998,66.690002,65.910004,65.910004,62.920963,12860900,23
2018-03-19,65.699997,66.339996,65.190002,65.709999,62.730015,7255600,24
2018-03-20,65.940002,66.870003,65.93,66.800003,63.770588,6906200,25
2018-03-21,66.730003,67.209999,66.309998,66.349998,63.340992,5805200,26
2018-03-22,65.599998,66.150002,64.230003,64.419998,61.49852,12313300,27
2018-03-23,66.699997,67.110001,64.459999,64.629997,61.69899,17343800,28
2018-03-26,65.080002,66.059998,64.989998,65.900002,62.911407,10796000,29
2018-03-27,65.889999,67.639999,65.43,66.169998,63.169147,9452500,30
2018-03-28,66.589996,67.150002,65.269997,65.440002,62.47226,7208400,31
2018-03-29,65.699997,66.550003,65.610001,66.440002,63.426922,10748300,32
2018-04-02,65.970001,66.050003,63.209999,64.120003,61.212128,12383900,33
2018-04-03,64.470001,66.730003,64.360001,66.699997,63.675121,8766400,34
2018-04-04,65.970001,68.5,65.93,68.419998,65.317131,10275800,35
2018-04-05,68.5,69.779999,68.389999,69.589996,66.434059,9093300,36
2018-04-06,68.510002,69.309998,66.93,67.550003,64.486565,9719300,37
2018-04-09,68.389999,68.550003,67.150002,67.18,64.133347,6504500,38
2018-04-10,67.809998,67.879997,66.489998,67,63.961521,10098900,39
2018-04-11,66.580002,67.199997,66.519997,66.830002,63.799229,5185500,40
2018-04-12,67.07,68,67.07,67.769997,64.696594,5145300,41
2018-04-13,68.120003,68.330002,66.980003,67.25,64.200195,4300200,42
2018-04-16,67.809998,67.980003,67.059998,67.059998,64.018799,6484400,43
2018-04-17,67.370003,67.669998,67.279999,67.510002,64.44838,5605700,44
2018-04-18,67.529999,67.739998,66.160004,66.199997,63.1978,7384000,45
2018-04-19,66.029999,66.300003,64.989998,65.730003,62.749119,8274300,46
2018-04-20,65.75,66.110001,65.449997,66.089996,63.092773,10402800,47
2018-04-23,66,67.029999,65.949997,66.879997,63.846958,6338400,48
2018-04-24,67.309998,67.510002,66.720001,66.970001,63.932877,8176100,49
2018-04-25,66.839996,67,66.25,66.669998,63.646469,5188900,50
2018-04-26,66.779999,68.290001,66.639999,68.050003,64.963905,5355200,51
2018-04-27,68.470001,70,68.449997,69.559998,66.405426,7814900,52
2018-04-30,69.580002,69.809998,68.389999,68.389999,65.288467,6484100,53
2018-05-01,67.980003,68.209999,67.029999,68.099998,65.01162,4957800,54
2018-05-02,68.040001,68.559998,67.480003,68.260002,65.164375,5752100,55
2018-05-03,67.800003,67.849998,66.639999,66.900002,63.866047,6155900,56
2018-05-04,66.839996,68.330002,66.800003,68.099998,65.01162,5132900,57
2018-05-07,68.059998,69.419998,68.059998,69.339996,66.195389,5041600,58
2018-05-08,69.199997,69.230003,68.199997,68.459999,65.355293,6534900,59
2018-05-09,68.419998,68.470001,67.010002,67.949997,64.868408,7956300,60
2018-05-10,68.139999,68.269997,67.330002,67.919998,64.83979,4965200,61
2018-05-11,68.029999,68.529999,67.910004,68.43,65.326675,4145100,62
2018-05-14,68.599998,68.889999,68.110001,68.839996,65.718063,3453800,63
2018-05-15,68.309998,69.519997,68.230003,69.5,66.348137,5045000,64
2018-05-16,69.669998,71.510002,69.620003,71.339996,68.104683,9693000,65
2018-05-17,71.400002,71.599998,70.82,70.940002,67.722832,6064700,66
2018-05-18,70.760002,71.589996,70.470001,71.32,68.085602,5688100,67
2018-05-21,71.480003,71.699997,70.709999,71.379997,68.142891,5480700,68
2018-05-22,71.459999,72.190002,71.260002,71.309998,68.076065,5675300,69
2018-05-23,70.949997,71.919998,70.830002,71.339996,68.104683,6806400,70
2018-05-24,71.43,72.279999,71.32,72.18,68.906609,5613800,71
2018-05-25,73.099998,73.489998,71.629997,72.25,68.973412,5889700,72
2018-05-29,71.519997,71.610001,70.43,70.919998,67.703751,5857900,73
2018-05-30,71.459999,72.290001,70.940002,72.230003,68.954346,5799900,74
2018-05-31,72,72.220001,71.239998,71.800003,68.543839,7856200,75
2018-06-01,72.120003,72.949997,72.120003,72.760002,69.65432,4085900,76
2018-06-04,73,73.870003,72.790001,73.830002,70.67865,4581900,77
2018-06-05,73.610001,74.220001,73.139999,74.050003,70.889267,4928700,78
2018-06-06,74.379997,74.940002,74.190002,74.75,71.55938,5318100,79
2018-06-07,74.949997,75.910004,74.650002,74.760002,71.568954,6846300,80
2018-06-08,74.779999,75.07,74.300003,74.900002,71.70298,5524900,81
2018-06-11,75.059998,75.209999,74.540001,74.589996,71.406204,4902800,82
2018-06-12,74.419998,74.610001,74.07,74.290001,71.119011,4356500,83
2018-06-13,74.269997,74.900002,73.989998,74.110001,70.946701,4696200,84
2018-06-14,74.599998,75.150002,74.349998,74.699997,71.511513,4636000,85
2018-06-15,74.709999,75.849998,74.5,75.839996,72.602837,10977300,86
2018-06-18,75.279999,75.760002,74.910004,75.610001,72.382683,4515900,87
2018-06-19,74.5,74.919998,73.650002,74.260002,71.090302,7562200,88
2018-06-20,74.199997,74.910004,73.970001,74.720001,71.530678,4424900,89
2018-06-21,73.699997,74.790001,73.550003,73.940002,70.783958,5537900,90
2018-06-22,73.57,74.410004,73.209999,73.43,70.295731,9404900,91
2018-06-25,73.32,73.360001,72.029999,72.349998,69.26181,9064100,92
